Kp,Ki,Kd,Tf,Class
6.2578,0.3678,1.7219,0.0122,1
4.1191,1.0783,1.7843,0.0170,1
2.8326,0.5083,3.3837,0.0114,1
4.4742,1.7389,2.0488,0.0145,0
7.2640,0.3143,2.5584,0.0123,1
4.5312,1.2541,1.8447,0.0160,1
4.1685,0.2005,3.5806,0.0102,1
7.6686,0.6445,1.8733,0.0176,1
5.1535,0.5574,2.0550,0.0160,1
6.2151,0.6293,3.1865,0.0154,1
4.0547,1.5034,2.2446,0.0123,0
5.1975,0.3629,1.4036,0.0124,1
5.7533,0.5470,2.9197,0.0194,1
5.9674,1.6602,2.1255,0.0127,1
4.3926,0.2499,1.2075,0.0176,1
1.5472,0.6521,2.8557,0.0123,0
8.6459,0.1752,1.3279,0.0100,0
2.5901,1.1959,1.8262,0.0122,0
3.8649,1.1121,1.5611,0.0152,0
7.1707,0.7626,2.3691,0.0123,1
3.5097,0.3171,1.4327,0.0134,1
3.7901,0.4470,1.3096,0.0101,1
4.5559,0.7640,2.3065,0.0165,1
5.2705,1.3872,3.0379,0.0126,1
7.0789,1.1651,0.7968,0.0110,1
5.5085,1.0793,2.6917,0.0124,1
3.7711,1.0025,3.0465,0.0112,1
3.4513,1.2189,0.6083,0.0102,0
4.0557,0.5024,1.2462,0.0167,1
3.1317,0.1182,1.0596,0.0134,0
0.9911,0.7126,1.8245,0.0124,0
2.8799,1.4614,1.2120,0.0140,0
7.5679,0.7765,1.8829,0.0120,1
4.9286,0.2134,1.0279,0.0141,1
3.3511,1.5235,2.5930,0.0178,0
5.8083,1.0886,0.8770,0.0101,1
2.8621,2.3334,3.4288,0.0112,0
4.9000,0.1517,2.8069,0.0111,0
3.7919,0.2307,1.6953,0.0115,1
1.4414,0.3687,2.5894,0.0154,1
2.9782,0.9403,3.1617,0.0109,0
3.0976,1.0000,1.8956,0.0129,0
5.8618,1.3715,3.6356,0.0106,1
3.1366,1.0647,2.5044,0.0122,0
2.3280,2.3200,2.2204,0.0114,0
3.3330,0.5417,0.1257,0.0101,1
5.8233,0.8605,0.7458,0.0157,1
0.7453,0.3222,0.9684,0.0136,0
3.5384,1.3447,1.8714,0.0137,0
5.5457,1.2859,3.0059,0.0119,1
4.1670,0.3804,2.5779,0.0148,1
5.1093,1.4145,2.3918,0.0102,1
2.3838,1.5091,2.1064,0.0128,0
6.3742,1.9493,1.8712,0.0117,1
3.0505,0.6378,4.0132,0.0147,1
4.4222,0.9861,1.2284,0.0107,1
3.3954,0.7675,3.3312,0.0119,1
6.5881,0.9355,1.5071,0.0137,1
3.1297,0.2536,1.4039,0.0135,1
4.6199,2.1846,2.1533,0.0162,0
1.1252,1.2645,2.4782,0.0114,0
5.5311,0.8261,1.0120,0.0134,1
4.4021,1.4538,2.3064,0.0122,0
4.9133,0.5354,2.5196,0.0108,1
3.7670,0.1732,2.9525,0.0125,0
5.4326,1.2885,0.8543,0.0121,1
2.6474,1.2632,0.7852,0.0104,0
8.1086,1.3098,1.7861,0.0108,1
3.6252,0.5938,1.9537,0.0157,1
1.4838,0.3494,1.7592,0.0169,0
5.2830,0.5991,0.7410,0.0126,1
1.0643,1.0289,0.9770,0.0101,0
2.3726,0.7694,1.8580,0.0120,0
8.9882,1.4611,2.2637,0.0103,1
9.8774,0.6341,1.9000,0.0109,1
7.6989,0.5226,2.0161,0.0120,1
4.1312,1.2147,3.9497,0.0131,1
6.6876,1.4720,3.2481,0.0142,1
2.4171,1.0979,1.6861,0.0166,0
5.8958,1.4475,1.7463,0.0109,1
5.1102,0.4134,3.0250,0.0152,1
2.1250,0.7388,1.5113,0.0138,0
1.5588,1.5545,2.3332,0.0113,0
2.2810,0.9811,1.8454,0.0118,0
7.2267,1.6918,3.1526,0.0138,1
3.3375,0.5137,2.1009,0.0150,1
2.5551,0.6968,2.0586,0.0135,0
5.6395,1.0963,1.2431,0.0108,1
2.2049,1.1224,2.8665,0.0124,0
3.3749,0.2400,1.9928,0.0159,1
2.6320,0.2410,3.3055,0.0119,1
9.7312,0.7668,2.2924,0.0108,1
3.6120,1.0487,2.1773,0.0121,0
4.3766,0.5276,2.2788,0.0113,1
7.8855,0.9321,0.6647,0.0169,1
2.0357,1.6399,3.4870,0.0113,0
4.6126,0.6120,1.9942,0.0105,1
6.8254,0.3601,1.1685,0.0110,1
4.8316,1.8523,2.7060,0.0141,0
1.8847,0.1144,2.8311,0.0127,0
0.8654,3.0168,3.9969,0.0107,0
4.7667,0.3855,3.3277,0.0108,1
3.1987,0.1162,1.4635,0.0130,0
1.5540,1.1324,3.6448,0.0120,0
2.6374,0.3632,1.1188,0.0108,1
7.6355,0.3827,2.3872,0.0109,1
5.1277,1.0800,1.9998,0.0100,1
6.1529,1.1999,1.9998,0.0100,1
4.1012,0.8000,2.7999,0.0100,1
4.9226,0.8000,1.9998,0.0100,1
